model,count,mean,std,min,25%,50%,75%,max,Rotation,Dataset
resnet,20.0,0.9921492892535537,0.0005133027058454823,0.991035044824776,0.991762541187294,0.9921550392248037,0.9926087869560652,0.9929150354248228,rot,CIC-IDS-2018
rf,20.0,0.9929722851385744,0.0008493398888112045,0.990725046374768,0.9929775351123244,0.99320253398733,0.9934937825310874,0.9938650306748468,rot,CIC-IDS-2018
saint,20.0,0.9873000634996826,0.010915754454098614,0.9452652736736316,0.9884775576122119,0.9917675411622942,0.9923162884185579,0.9928550357248214,rot,CIC-IDS-2018
xgb,20.0,0.9955965220173898,1.6709510292949276e-05,0.995560022199889,0.9955837720811396,0.99560002199989,0.99560627196864,0.9956300218498908,rot,CIC-IDS-2018
catboost,20.0,0.987778550141023,0.0015524647208142335,0.9855621339597466,0.9863870978051569,0.9878192989605057,0.9891855829078677,0.9904440023330696,rot,IoTID20
dt,20.0,0.9911830740589819,0.0020535452570057604,0.9868405282964596,0.9895750936823349,0.9912150339173997,0.9925353755682863,0.994159335874142,rot,IoTID20
lgbm,20.0,0.9980596370958077,0.00013943696135931648,0.9978427095567968,0.9979825339373747,0.998058438601117,0.9981223583179526,0.9983700472206908,rot,IoTID20
mlp,20.0,0.9963182243102663,0.0005984118817237301,0.995381800458624,0.9959011481579136,0.9961568270252563,0.9967840392467061,0.9975710507602452,rot,IoTID20
resnet,20.0,0.9908007542526587,0.007396590799741114,0.9616721397924208,0.9888779692705961,0.993248479909234,0.9948005305336497,0.9958292384764736,rot,IoTID20
rf,20.0,0.9896773652292721,0.0017272013876720748,0.9870802272345932,0.9884365237262001,0.9895331463681616,0.9910652220810663,0.9929208913604513,rot,IoTID20
saint,20.0,0.9906101935968424,0.004735034245457719,0.9815192118698914,0.9871061946195578,0.9916464920060405,0.995068194347899,0.996364566104972,rot,IoTID20
xgb,20.0,0.9986405075225517,8.460848531984482e-05,0.9984898966897576,0.9985897712473133,0.9986457009995446,0.9987016307517758,0.9987695454509136,rot,IoTID20
