model,count,mean,std,min,25%,50%,75%,max,Rotation,Dataset
saint,20.0,0.9856163231456835,0.013863842899119886,0.9361610884778074,0.9824396084599523,0.9911250521873638,0.9933412153986172,0.9958090755192204,rot,CIC-IDS-2018
xgb,20.0,0.9996999805175552,6.906831279555986e-05,0.9995685049724664,0.9996506927071552,0.9997020386788675,0.9997328510953104,0.9998355736424548,rot,CIC-IDS-2018
catboost,20.0,0.9884397062419128,0.0016464210286598255,0.9860075020019388,0.9869274449023206,0.9887266533488286,0.9898453251494488,0.9909455888331752,rot,IoTID20
dt,20.0,0.9921075405776649,0.0024583573649126335,0.9863211003765068,0.9908375663562486,0.9923141375169139,0.9941166767699174,0.995814615600999,rot,IoTID20
lgbm,20.0,0.9981689544497593,0.00014420208686759896,0.9979375468739348,0.9980715469555025,0.998197000240657,0.9982629193763718,0.9984821870150248,rot,IoTID20
mlp,20.0,0.99643835428688,0.000682653277570209,0.9953332993318712,0.9959724276683808,0.9962343638205229,0.9969220893251987,0.9979517640432176,rot,IoTID20
resnet,20.0,0.9921282718004317,0.0036227373192401053,0.9847821771068008,0.9884167033827843,0.9934077522388762,0.9954756466827261,0.9957314377062004,rot,IoTID20
rf,20.0,0.9894586455203909,0.0017540494076958815,0.9870779034678084,0.9881767567546151,0.9892070245950334,0.9907192481540626,0.992742564519958,rot,IoTID20
saint,20.0,0.9917569696064567,0.0042187010155239095,0.9843121412580584,0.989243235407682,0.993209398707585,0.9953143262941979,0.9968570333461096,rot,IoTID20
xgb,20.0,0.9987615423829839,6.936597079274263e-05,0.9986524635184348,0.9987078586278954,0.9987547605955454,0.998822959957167,0.9988654781199352,rot,IoTID20
