iteration,dataset,model,rotation,metric,value
4,CIC-IDS-2018,mlp,no_rot,accuracy,0.9933400332998334
5,CIC-IDS-2018,mlp,no_rot,accuracy,0.9933000334998324
6,CIC-IDS-2018,mlp,no_rot,accuracy,0.9938850305748472
7,CIC-IDS-2018,mlp,no_rot,accuracy,0.9933150334248328
8,CIC-IDS-2018,mlp,no_rot,accuracy,0.9938100309498452
9,CIC-IDS-2018,mlp,no_rot,accuracy,0.993915030424848
10,CIC-IDS-2018,mlp,no_rot,accuracy,0.9932450337748312
11,CIC-IDS-2018,mlp,no_rot,accuracy,0.9938550307248464
12,CIC-IDS-2018,mlp,no_rot,accuracy,0.9932950335248324
13,CIC-IDS-2018,mlp,no_rot,accuracy,0.993835030824846
14,CIC-IDS-2018,mlp,no_rot,accuracy,0.9931650341748292
15,CIC-IDS-2018,mlp,no_rot,accuracy,0.9933250333748332
16,CIC-IDS-2018,mlp,no_rot,accuracy,0.9938700306498468
17,CIC-IDS-2018,mlp,no_rot,accuracy,0.993355033224834
18,CIC-IDS-2018,mlp,no_rot,accuracy,0.9933000334998324
19,CIC-IDS-2018,mlp,no_rot,accuracy,0.993845030774846
20,CIC-IDS-2018,mlp,no_rot,accuracy,0.993360033199834
1,CIC-IDS-2018,resnet,rot,accuracy,0.9917850410747946
2,CIC-IDS-2018,resnet,rot,accuracy,0.9914950425247874
3,CIC-IDS-2018,resnet,rot,accuracy,0.992165039174804
4,CIC-IDS-2018,resnet,rot,accuracy,0.9929150354248228
5,CIC-IDS-2018,resnet,rot,accuracy,0.9928250358748206
6,CIC-IDS-2018,resnet,rot,accuracy,0.9916600416997916
7,CIC-IDS-2018,resnet,rot,accuracy,0.9926200368998156
8,CIC-IDS-2018,resnet,rot,accuracy,0.9916950415247924
9,CIC-IDS-2018,resnet,rot,accuracy,0.991685041574792
10,CIC-IDS-2018,resnet,rot,accuracy,0.9923000384998076
11,CIC-IDS-2018,resnet,rot,accuracy,0.9921450392748036
12,CIC-IDS-2018,resnet,rot,accuracy,0.9919400402997984
13,CIC-IDS-2018,resnet,rot,accuracy,0.992880035599822
14,CIC-IDS-2018,resnet,rot,accuracy,0.9926050369748152
15,CIC-IDS-2018,resnet,rot,accuracy,0.992120039399803
16,CIC-IDS-2018,resnet,rot,accuracy,0.9919000404997976
17,CIC-IDS-2018,resnet,rot,accuracy,0.9921700391498044
18,CIC-IDS-2018,resnet,rot,accuracy,0.9927750361248192
19,CIC-IDS-2018,resnet,rot,accuracy,0.991035044824776
20,CIC-IDS-2018,resnet,rot,accuracy,0.9922700386498068
1,CIC-IDS-2018,resnet,no_rot,accuracy,0.9932550337248314
2,CIC-IDS-2018,resnet,no_rot,accuracy,0.9931900340498298
3,CIC-IDS-2018,resnet,no_rot,accuracy,0.9932650336748317
4,CIC-IDS-2018,resnet,no_rot,accuracy,0.9932200338998304
5,CIC-IDS-2018,resnet,no_rot,accuracy,0.993320033399833
6,CIC-IDS-2018,resnet,no_rot,accuracy,0.9932300338498308
7,CIC-IDS-2018,resnet,no_rot,accuracy,0.9933250333748332
8,CIC-IDS-2018,resnet,no_rot,accuracy,0.9931500342498288
9,CIC-IDS-2018,resnet,no_rot,accuracy,0.9932950335248324
10,CIC-IDS-2018,resnet,no_rot,accuracy,0.9932300338498308
11,CIC-IDS-2018,resnet,no_rot,accuracy,0.993285033574832
12,CIC-IDS-2018,resnet,no_rot,accuracy,0.9930250348748256
13,CIC-IDS-2018,resnet,no_rot,accuracy,0.9931850340748296
14,CIC-IDS-2018,resnet,no_rot,accuracy,0.9931100344498276
15,CIC-IDS-2018,resnet,no_rot,accuracy,0.9929950350248248
16,CIC-IDS-2018,resnet,no_rot,accuracy,0.9930550347248264
17,CIC-IDS-2018,resnet,no_rot,accuracy,0.9930650346748268
18,CIC-IDS-2018,resnet,no_rot,accuracy,0.9931000344998276
19,CIC-IDS-2018,resnet,no_rot,accuracy,0.993045034774826
20,CIC-IDS-2018,resnet,no_rot,accuracy,0.9931700341498292
1,CIC-IDS-2018,saint,rot,accuracy,0.991835040824796
2,CIC-IDS-2018,saint,rot,accuracy,0.9890750546247268
3,CIC-IDS-2018,saint,rot,accuracy,0.9923800380998096
4,CIC-IDS-2018,saint,rot,accuracy,0.9919400402997984
5,CIC-IDS-2018,saint,rot,accuracy,0.9923900380498096
6,CIC-IDS-2018,saint,rot,accuracy,0.9922600386998064
7,CIC-IDS-2018,saint,rot,accuracy,0.9820200898995504
8,CIC-IDS-2018,saint,rot,accuracy,0.9926850365748172
9,CIC-IDS-2018,saint,rot,accuracy,0.989960050199749
10,CIC-IDS-2018,saint,rot,accuracy,0.991160044199779
11,CIC-IDS-2018,saint,rot,accuracy,0.9922950385248074
12,CIC-IDS-2018,saint,rot,accuracy,0.9809250953745232
13,CIC-IDS-2018,saint,rot,accuracy,0.989675051624742
14,CIC-IDS-2018,saint,rot,accuracy,0.9866850665746671
15,CIC-IDS-2018,saint,rot,accuracy,0.9452652736736316
16,CIC-IDS-2018,saint,rot,accuracy,0.9925900370498149
17,CIC-IDS-2018,saint,rot,accuracy,0.9928550357248214
18,CIC-IDS-2018,saint,rot,accuracy,0.9917000414997924
19,CIC-IDS-2018,saint,rot,accuracy,0.992120039399803
20,CIC-IDS-2018,saint,rot,accuracy,0.9761851190744046
1,CIC-IDS-2018,saint,no_rot,accuracy,0.9928600356998216
2,CIC-IDS-2018,saint,no_rot,accuracy,0.9919050404747976
3,CIC-IDS-2018,saint,no_rot,accuracy,0.9930550347248264
4,CIC-IDS-2018,saint,no_rot,accuracy,0.990160049199754
5,CIC-IDS-2018,saint,no_rot,accuracy,0.99040504797476
6,CIC-IDS-2018,saint,no_rot,accuracy,0.9224253878730606
7,CIC-IDS-2018,saint,no_rot,accuracy,0.983880080599597
8,CIC-IDS-2018,saint,no_rot,accuracy,0.9908950455247724
9,CIC-IDS-2018,saint,no_rot,accuracy,0.9915000424997876
10,CIC-IDS-2018,saint,no_rot,accuracy,0.9932650336748317
11,CIC-IDS-2018,saint,no_rot,accuracy,0.9851250743746282
12,CIC-IDS-2018,saint,no_rot,accuracy,0.9927550362248188
13,CIC-IDS-2018,saint,no_rot,accuracy,0.966480167599162
14,CIC-IDS-2018,saint,no_rot,accuracy,0.9883300583497082
15,CIC-IDS-2018,saint,no_rot,accuracy,0.9894600526997364
16,CIC-IDS-2018,saint,no_rot,accuracy,0.9930750346248268
17,CIC-IDS-2018,saint,no_rot,accuracy,0.9845350773246134
18,CIC-IDS-2018,saint,no_rot,accuracy,0.9904900475497622
19,CIC-IDS-2018,saint,no_rot,accuracy,0.9545702271488644
20,CIC-IDS-2018,saint,no_rot,accuracy,0.9864950675246624
1,CIC-IDS-2017,rf,rot,accuracy,0.9420955790442096
2,CIC-IDS-2017,rf,rot,accuracy,0.9523554764452355
